title,actor name,director name,year,genre,aggregate value
Gabrielle,"Hancisse, Thierry","Ch?reau, Patrice",2005,Drama,"Gabrielle (2005) Hancisse, Thierry Ch?reau, Patrice 2005 Drama"
Devil in a Blue Dress,"Lacey, Deborah","Franklin, Carl (I)",1995,Crime,"Devil in a Blue Dress (1995) Lacey, Deborah Franklin, Carl (I) 1995 Crime"
"Paradine Case, The","Coburn, Charles","Hitchcock, Alfred (I)",1947,Drama,"Paradine Case, The (1947) Coburn, Charles Hitchcock, Alfred (I) 1947 Drama"
"Jedi Hunter, The","Garwood, Reed","Hudgens, John E.",2002,Short,"Jedi Hunter, The (2002) Garwood, Reed Hudgens, John E. 2002 Short"
"Vanishing Legion, The","Karloff, Boris","Eason, B. Reeves",1931,Western,"Vanishing Legion, The (1931) Karloff, Boris Eason, B. Reeves 1931 Western"
Crash Dive,"Archer, John (I)","Mayo, Archie",1943,Drama,"Crash Dive (1943) Archer, John (I) Mayo, Archie 1943 Drama"
Crazy House,"Rice, Jack","Cline, Edward F.",1943,Comedy,"Crazy House (1943) Rice, Jack Cline, Edward F. 1943 Comedy"
Crime Doctor,"Costello, Don (I)","Gordon, Michael (I)",1943,Drama,"Crime Doctor (1943) Costello, Don (I) Gordon, Michael (I) 1943 Drama"
Chao ji ji hua,"Law, Bruce (I)","Tong, Stanley",1993,Comedy,"Chao ji ji hua (1993) Law, Bruce (I) Tong, Stanley 1993 Comedy"
To the Last Man,"Besserer, Eugenie","Hathaway, Henry",1933,Western,"To the Last Man (1933) Besserer, Eugenie Hathaway, Henry 1933 Western"
Angela's Ashes,"Owens, Ciaran","Parker, Alan (I)",1999,Drama,"Angela's Ashes (1999) Owens, Ciaran Parker, Alan (I) 1999 Drama"
Today We Live,"Malyon, Eily","Rosson, Richard (I)",1933,Drama,"Today We Live (1933) Malyon, Eily Rosson, Richard (I) 1933 Drama"
Deadly Blessing,"Weenick, Annabelle (I)","Craven, Wes",1981,Horror,"Deadly Blessing (1981) Weenick, Annabelle (I) Craven, Wes 1981 Horror"
Humraaz,"Anand, Raj","Burmawalla, Abbas Alibhai",2002,Drama,"Humraaz (2002) Anand, Raj Burmawalla, Abbas Alibhai 2002 Drama"
Which Way Is Up?,"Northup, Harry","Schultz, Michael (I)",1977,Comedy,"Which Way Is Up? (1977) Northup, Harry Schultz, Michael (I) 1977 Comedy"
Dead & Buried,"Corbin, Barry","Sherman, Gary (I)",1981,Horror,"Dead & Buried (1981) Corbin, Barry Sherman, Gary (I) 1981 Horror"
"Cock and Bull Story, A","Wilson, Stuart (IV)","Winterbottom, Michael",2005,Comedy,"Cock and Bull Story, A (2005) Wilson, Stuart (IV) Winterbottom, Michael 2005 Comedy"
Strange Behavior,"Harner, Joe","Laughlin, Michael (I)",1981,Horror,"Strange Behavior (1981) Harner, Joe Laughlin, Michael (I) 1981 Horror"
Hitler - Beast of Berlin,"Wessel, Dick","Newfield, Sam (I)",1939,Drama,"Hitler - Beast of Berlin (1939) Wessel, Dick Newfield, Sam (I) 1939 Drama"
?ppelkriget,"Sj?blom, Carl-Uno","Danielsson, Tage",1971,Comedy,"?ppelkriget (1971) Sj?blom, Carl-Uno Danielsson, Tage 1971 Comedy"
Welcome to L.A.,"Kellerman, Sally","Rudolph, Alan",1976,Drama,"Welcome to L.A. (1976) Kellerman, Sally Rudolph, Alan 1976 Drama"
"White Sister, The","Gable, Clark","Fleming, Victor",1933,Drama,"White Sister, The (1933) Gable, Clark Fleming, Victor 1933 Drama"
Something Big,"Carey Jr., Harry","McLaglen, Andrew V.",1971,Western,"Something Big (1971) Carey Jr., Harry McLaglen, Andrew V. 1971 Western"
Cyborg 2,"Schroeder, David (I)","Schroeder, Michael (I)",1993,Sci-Fi,"Cyborg 2 (1993) Schroeder, David (I) Schroeder, Michael (I) 1993 Sci-Fi"
"Next Karate Kid, The","O'Brien, Tom (IX)","Cain, Christopher (I)",1994,Comedy,"Next Karate Kid, The (1994) O'Brien, Tom (IX) Cain, Christopher (I) 1994 Comedy"
Daibyonin,"Mitani, Noboru","Itami, Juzo",1993,Drama,"Daibyonin (1993) Mitani, Noboru Itami, Juzo 1993 Drama"
"World Gone Mad, The","Hall, Ben (I)","Cabanne, Christy",1933,Horror,"World Gone Mad, The (1933) Hall, Ben (I) Cabanne, Christy 1933 Horror"
Gudgudee,"Roy, Dolon","Chatterjee, Basu",1997,Romance,"Gudgudee (1997) Roy, Dolon Chatterjee, Basu 1997 Romance"
"Wolf Dog, The","Northrup, Harry","Clark, Colbert",1933,Adventure,"Wolf Dog, The (1933) Northrup, Harry Clark, Colbert 1933 Adventure"
Zorro's Black Whip,"Roan, Vinegar","Grissell, Wallace",1944,Western,"Zorro's Black Whip (1944) Roan, Vinegar Grissell, Wallace 1944 Western"
"Woman Accused, The","Stuart, Donald","Sloane, Paul (II)",1933,Drama,"Woman Accused, The (1933) Stuart, Donald Sloane, Paul (II) 1933 Drama"
Zachariah,"Gonzalez Gonzalez, Pedro","Englund, George",1971,Western,"Zachariah (1971) Gonzalez Gonzalez, Pedro Englund, George 1971 Western"
Top Dog,"Sistrunk, John","Norris, Aaron",1995,Comedy,"Top Dog (1995) Sistrunk, John Norris, Aaron 1995 Comedy"
Czlowiek z zelaza,"Radziwilowicz, Jerzy","Wajda, Andrzej",1981,Drama,"Czlowiek z zelaza (1981) Radziwilowicz, Jerzy Wajda, Andrzej 1981 Drama"
Tommy Boy,"Segal, Taylor","Segal, Peter",1995,Comedy,"Tommy Boy (1995) Segal, Taylor Segal, Peter 1995 Comedy"
Lightning Bolt: The Power of Salad,"Gibson, Brian (VII)","Noe, Nick",2002,,"Lightning Bolt: The Power of Salad (2002) (V) Gibson, Brian (VII) Noe, Nick 2002"
C?leste,"Euba, Wolf","Adlon, Percy",1981,Drama,"C?leste (1981) Euba, Wolf Adlon, Percy 1981 Drama"
Tokyo Fist,"Taguchi, Tomorowo","Tsukamoto, Shinya",1995,Horror,"Tokyo Fist (1995) Taguchi, Tomorowo Tsukamoto, Shinya 1995 Horror"
"Pleasure of Your Company, The","Mizrahi, Regan","Black, Michael Ian",2006,Comedy,"Pleasure of Your Company, The (2006) Mizrahi, Regan Black, Michael Ian 2006 Comedy"
Contamination .7,"Julian, Jim","Laurenti, Fabrizio",1990,Horror,"Contamination .7 (1990) Julian, Jim Laurenti, Fabrizio 1990 Horror"
Ying wang,"Chang, Pei-Shan","Chang, Cheh",1971,,"Ying wang (1971) Chang, Pei-Shan Chang, Cheh 1971"
Cutter's Way,"Pelt, William","Passer, Ivan",1981,Drama,"Cutter's Way (1981) Pelt, William Passer, Ivan 1981 Drama"
You've Got to Walk It Like You Talk It or You'll Lose That Beat,"Taylor, Anne (I)","Locke, Peter (I)",1971,Comedy,"You've Got to Walk It Like You Talk It or You'll Lose That Beat (1971) Taylor, Anne (I) Locke, Peter (I) 1971 Comedy"
Nell,"Bomba, Heather M.","Apted, Michael",1994,Drama,"Nell (1994) Bomba, Heather M. Apted, Michael 1994 Drama"
"Yoke's on Me, The","Howard, Curly","White, Jules",1944,Short,"Yoke's on Me, The (1944) Howard, Curly White, Jules 1944 Short"
Cop and ½,"Weenick, Annabelle (I)","Winkler, Henry",1993,Comedy,"Cop and ½ (1993) Weenick, Annabelle (I) Winkler, Henry 1993 Comedy"
Guang dong xiao lao hu,"Hon, Kwok Choi","Mu, Chu",1971,Comedy,"Guang dong xiao lao hu (1971) Hon, Kwok Choi Mu, Chu 1971 Comedy"
Reign of Fire,"Meacock, Alex","Bowman, Rob (I)",2002,Fantasy,"Reign of Fire (2002) Meacock, Alex Bowman, Rob (I) 2002 Fantasy"
Ek Rishtaa: The Bond of Love,"Shetty, Sunil (I)","Darshan, Suneel",2001,Drama,"Ek Rishtaa: The Bond of Love (2001) Shetty, Sunil (I) Darshan, Suneel 2001 Drama"
Ready to Run,"Gittins, Paul","Dunham, Duwayne",2000,Family,"Ready to Run (2000) (TV) Gittins, Paul Dunham, Duwayne 2000 Family"
Natural Born Killers,"Rooney, Jack","Stone, Oliver (I)",1994,Romance,"Natural Born Killers (1994) Rooney, Jack Stone, Oliver (I) 1994 Romance"
Totsuzen! Neko no kuni banipal witt,"McGlynn, Mary Elizabeth","Nakamura, Takashi",1998,Animation,"Totsuzen! Neko no kuni banipal witt (1998) McGlynn, Mary Elizabeth Nakamura, Takashi 1998 Animation"
Dracula: Dead and Loving It,"Revill, Clive","Brooks, Mel (I)",1995,Horror,"Dracula: Dead and Loving It (1995) Revill, Clive Brooks, Mel (I) 1995 Horror"
Nattevagten,"Adolfsson, Leif","Bornedal, Ole",1994,Horror,"Nattevagten (1994) Adolfsson, Leif Bornedal, Ole 1994 Horror"
Dr. Jekyll and Ms. Hyde,"Cobb, Julie","Price, David (I)",1995,Horror,"Dr. Jekyll and Ms. Hyde (1995) Cobb, Julie Price, David (I) 1995 Horror"
Tod f?r f?nf Stimmen,"Miccio, Gennaro","Herzog, Werner",1995,Music,"Tod f?r f?nf Stimmen (1995) (TV) Miccio, Gennaro Herzog, Werner 1995 Music"
Shuang tong,"Leung Ka Fai, Tony","Chen, Kuo-fu",2002,Horror,"Shuang tong (2002) Leung Ka Fai, Tony Chen, Kuo-fu 2002 Horror"
"Creature Wasn't Nice, The","Willock, Margaret","Kimmel, Bruce",1983,Horror,"Creature Wasn't Nice, The (1983) Willock, Margaret Kimmel, Bruce 1983 Horror"
Down from the Mountain,"Nelson, Tim Blake","Doob, Nick (I)",2000,Music,"Down from the Mountain (2000) Nelson, Tim Blake Doob, Nick (I) 2000 Music"
"To Wong Foo Thanks for Everything, Julie Newmar","Houser, Dean","Kidron, Beeban",1995,Comedy,"To Wong Foo Thanks for Everything, Julie Newmar (1995) Houser, Dean Kidron, Beeban 1995 Comedy"
I'm a Man,"Pendleton, Martin (III)","Vidor, King",1918,Short,"I'm a Man (1918) Pendleton, Martin (III) Vidor, King 1918 Short"
To Die For,"Forrester, Tom (I)","Van Sant, Gus",1995,Comedy,"To Die For (1995) Forrester, Tom (I) Van Sant, Gus 1995 Comedy"
Hell's Kitchen,"Kenny, Jack (II)","Dupont, Ewald Andr?",1939,Drama,"Hell's Kitchen (1939) Kenny, Jack (II) Dupont, Ewald Andr? 1939 Drama"
When Ladies Meet,"Brady, Alice","Leonard, Robert Z.",1933,Comedy,"When Ladies Meet (1933) Brady, Alice Leonard, Robert Z. 1933 Comedy"
Wakusei daisenso,"Ikebe, Ryo","Fukuda, Jun (I)",1977,Sci-Fi,"Wakusei daisenso (1977) Ikebe, Ryo Fukuda, Jun (I) 1977 Sci-Fi"
Wing and a Prayer,"Roe, Raymond","Hathaway, Henry",1944,Drama,"Wing and a Prayer (1944) Roe, Raymond Hathaway, Henry 1944 Drama"
"Whispering Shadow, The","Parker, Eddie (I)","Clark, Colbert",1933,Horror,"Whispering Shadow, The (1933) Parker, Eddie (I) Clark, Colbert 1933 Horror"
"NeverEnding Story III, The","Irvine, Jenna","MacDonald, Peter (I)",1994,Family,"NeverEnding Story III, The (1994) Irvine, Jenna MacDonald, Peter (I) 1994 Family"
"White Cliffs of Dover, The","Taylor, Elizabeth (I)","Brown, Clarence (I)",1944,Romance,"White Cliffs of Dover, The (1944) Taylor, Elizabeth (I) Brown, Clarence (I) 1944 Romance"
Neuf mois,"Covillault, J?r?mie","Braoud?, Patrick",1994,Comedy,"Neuf mois (1994) Covillault, J?r?mie Braoud?, Patrick 1994 Comedy"
Wilson,"Seaton, Scott (I)","King, Henry (I)",1944,Biography,"Wilson (1944) Seaton, Scott (I) King, Henry (I) 1944 Biography"
"Crush, The","Acheson, Mark","Shapiro, Alan (I)",1993,Drama,"Crush, The (1993) Acheson, Mark Shapiro, Alan (I) 1993 Drama"
Aatank Hi Aatank,"Pal, Amrit","Shankar, Dilip (II)",1995,Drama,"Aatank Hi Aatank (1995) Pal, Amrit Shankar, Dilip (II) 1995 Drama"
Confessions of a Sorority Girl,"Rae, Bette","Edel, Uli",1994,Comedy,"Confessions of a Sorority Girl (1994) (TV) Rae, Bette Edel, Uli 1994 Comedy"
Shoot to Kill,"Alley, Kirstie","Spottiswoode, Roger",1988,Thriller,"Shoot to Kill (1988) Alley, Kirstie Spottiswoode, Roger 1988 Thriller"
Chuen jik sat sau,"Lin, Teddy","Wai, Ka-Fai",2001,Thriller,"Chuen jik sat sau (2001) Lin, Teddy Wai, Ka-Fai 2001 Thriller"
I Take This Woman,"Dickson, Helen (I)","Borzage, Frank",1940,Drama,"I Take This Woman (1940) Dickson, Helen (I) Borzage, Frank 1940 Drama"
Coup de torchon,"Beaune, Michel","Tavernier, Bertrand",1981,Drama,"Coup de torchon (1981) Beaune, Michel Tavernier, Bertrand 1981 Drama"
I Stole a Million,"Chandler, Eddy","Tuttle, Frank (I)",1939,Mystery,"I Stole a Million (1939) Chandler, Eddy Tuttle, Frank (I) 1939 Mystery"
Xiaohai bu ben 2,"Tan, Selena","Neo, Jack",2006,Comedy,"Xiaohai bu ben 2 (2006) Tan, Selena Neo, Jack 2006 Comedy"
Continental Divide,"Dean, Ron (I)","Apted, Michael",1981,Comedy,"Continental Divide (1981) Dean, Ron (I) Apted, Michael 1981 Comedy"
Viktor und Viktoria,"Thimig, Hermann","Sch?nzel, Reinhold",1933,Comedy,"Viktor und Viktoria (1933) Thimig, Hermann Sch?nzel, Reinhold 1933 Comedy"
Do Chor,Dhumal,Padmanabh,1972,Drama,Do Chor (1972) Dhumal Padmanabh 1972 Drama
Bride Service,,"Chagnon, Napoleon",1975,Short,"Bride Service (1975)  Chagnon, Napoleon 1975 Short"
She's Having a Baby,"Newton-John, Olivia","Hughes, John (I)",1988,Comedy,"She's Having a Baby (1988) Newton-John, Olivia Hughes, John (I) 1988 Comedy"
Go Figure,"Gunadi, Tania","McDougall, Francine",2005,Comedy,"Go Figure (2005) (TV) Gunadi, Tania McDougall, Francine 2005 Comedy"
Appointment in Tokyo,,"Hively, Jack",1945,War,"Appointment in Tokyo (1945)  Hively, Jack 1945 War"
No. 3,"Choi, Min-sik","Song, Neung-han",1997,Comedy,"No. 3 (1997) Choi, Min-sik Song, Neung-han 1997 Comedy"
Cool Runnings,"Parisien, Rob","Turteltaub, Jon",1993,Comedy,"Cool Runnings (1993) Parisien, Rob Turteltaub, Jon 1993 Comedy"
N?,"Chr?tien, Jean (I)","Lepage, Robert",1998,Drama,"N? (1998) Chr?tien, Jean (I) Lepage, Robert 1998 Drama"
English Babu Desi Mem,"Singh, Sunny (IV)","Nischol, Praveen",1996,Comedy,"English Babu Desi Mem (1996) Singh, Sunny (IV) Nischol, Praveen 1996 Comedy"
In Name Only,"Strange, Robert (I)","Cromwell, John",1939,Drama,"In Name Only (1939) Strange, Robert (I) Cromwell, John 1939 Drama"
Waltzes from Vienna,"Smith, Cyril (I)","Hitchcock, Alfred (I)",1934,Comedy,"Waltzes from Vienna (1934) Smith, Cyril (I) Hitchcock, Alfred (I) 1934 Comedy"
Idiot's Delight,"Demetrio, Anna","Brown, Clarence (I)",1939,Comedy,"Idiot's Delight (1939) Demetrio, Anna Brown, Clarence (I) 1939 Comedy"
Ogniem i mieczem,"Grochoczynski, Tomasz","Hoffman, Jerzy",1999,History,"Ogniem i mieczem (1999) Grochoczynski, Tomasz Hoffman, Jerzy 1999 History"
"Ice Follies of 1939, The","Shipstad, Roy","Sch?nzel, Reinhold",1939,Drama,"Ice Follies of 1939, The (1939) Shipstad, Roy Sch?nzel, Reinhold 1939 Drama"
Conflict of Interest,"de Broux, Lee","Davis, Gary (I)",1993,Drama,"Conflict of Interest (1993) de Broux, Lee Davis, Gary (I) 1993 Drama"
VeggieTales: Sumo of the Opera,"Hodge, Tim (I)","Nawrocki, Mike",2004,Comedy,"VeggieTales: Sumo of the Opera (2004) (V) Hodge, Tim (I) Nawrocki, Mike 2004 Comedy"
"Hound of the Baskervilles, The","Borland, Barlowe","Lanfield, Sidney",1939,Horror,"Hound of the Baskervilles, The (1939) Borland, Barlowe Lanfield, Sidney 1939 Horror"
Prince Live at the Aladdin Las Vegas,"Neto, Renato","Hamri, Sanaa",2003,Music,"Prince Live at the Aladdin Las Vegas (2003) (V) Neto, Renato Hamri, Sanaa 2003 Music"
Trader Horn,"Booth, Edwina","Van Dyke, W.S.",1931,Adventure,"Trader Horn (1931) Booth, Edwina Van Dyke, W.S. 1931 Adventure"
Demonlover,"Reymond, Dominique","Assayas, Olivier",2002,Thriller,"Demonlover (2002) Reymond, Dominique Assayas, Olivier 2002 Thriller"
Baby Boy,"Johnson, A.J. (I)","Singleton, John (I)",2001,Romance,"Baby Boy (2001) Johnson, A.J. (I) Singleton, John (I) 2001 Romance"
"Esquive, L'","Hamlili, Hajar","Kechiche, Abdel",2003,Drama,"Esquive, L' (2003) Hamlili, Hajar Kechiche, Abdel 2003 Drama"
No Escape,"Logan, Brian M.","Campbell, Martin (I)",1994,Drama,"No Escape (1994) Logan, Brian M. Campbell, Martin (I) 1994 Drama"
"Voice of Conscience, The","Darnell, Jean",,1912,Short,"Voice of Conscience, The (1912/II) Darnell, Jean  1912 Short"
Dangerous Child,"Barker, Jordan","Campbell, Graeme (I)",2001,Drama,"Dangerous Child (2001) (TV) Barker, Jordan Campbell, Graeme (I) 2001 Drama"
"Vampire Bat, The","Douglas, Melvyn","Strayer, Frank R.",1933,Horror,"Vampire Bat, The (1933) Douglas, Melvyn Strayer, Frank R. 1933 Horror"
"Cure for Insomnia, The","Groban, L.D.","Timmis IV, John Henry",1987,,"Cure for Insomnia, The (1987) Groban, L.D. Timmis IV, John Henry 1987"
Not Angels But Angels,,"Grodecki, Wiktor",1994,Documentary,"Not Angels But Angels (1994)  Grodecki, Wiktor 1994 Documentary"
"Hunchback of Notre Dame, The","Drake, Charles (I)","Dieterle, William",1939,Drama,"Hunchback of Notre Dame, The (1939) Drake, Charles (I) Dieterle, William 1939 Drama"
Nobody's Fool,"Heitman, Bob","Benton, Robert (I)",1994,Drama,"Nobody's Fool (1994) Heitman, Bob Benton, Robert (I) 1994 Drama"
North,"Ford, Faith","Reiner, Rob",1994,Comedy,"North (1994) Ford, Faith Reiner, Rob 1994 Comedy"
Whisper,"Hill, Dul?","Hendler, Stewart",2007,Drama,"Whisper (2007) Hill, Dul? Hendler, Stewart 2007 Drama"
What Happened Today...?,"Lynn, Jennifer (II)","Usher, Nick",2004,Short,"What Happened Today...? (2004) (V) Lynn, Jennifer (II) Usher, Nick 2004 Short"
At Midnight,"Rich, Vivian",,1913,Short,"At Midnight (1913/III) Rich, Vivian  1913 Short"
"Happiest Millionaire, The","Cooper, Gladys (I)","Tokar, Norman",1967,Comedy,"Happiest Millionaire, The (1967) Cooper, Gladys (I) Tokar, Norman 1967 Comedy"
"Happening, The","Kuhl, James Randolph","Silverstein, Elliot",1967,Comedy,"Happening, The (1967) Kuhl, James Randolph Silverstein, Elliot 1967 Comedy"
"Seafarers, The","Hollenbeck, Don","Kubrick, Stanley",1953,Short,"Seafarers, The (1953) Hollenbeck, Don Kubrick, Stanley 1953 Short"
Hells Angels on Wheels,"Wilmoth, Rod","Rush, Richard (I)",1967,Drama,"Hells Angels on Wheels (1967) Wilmoth, Rod Rush, Richard (I) 1967 Drama"
D'Artanyan i tri mushketyora,"Velkin, O.","Yungvald-Khilkevich, Georgi",1978,Adventure,"D'Artanyan i tri mushketyora (1978) (TV) Velkin, O. Yungvald-Khilkevich, Georgi 1978 Adventure"
Hatsukoi: Jigoku-hen,"Mitsui, Koji","Hani, Susumu",1968,Drama,"Hatsukoi: Jigoku-hen (1968) Mitsui, Koji Hani, Susumu 1968 Drama"
"Uninvited, The","Thomas, Evan (I)","Allen, Lewis (I)",1944,Horror,"Uninvited, The (1944) Thomas, Evan (I) Allen, Lewis (I) 1944 Horror"
School Daze,"Johnson, A.J. (I)","Lee, Spike",1988,Comedy,"School Daze (1988) Johnson, A.J. (I) Lee, Spike 1988 Comedy"
Jaanam Samjha Karo,"Matondkar, Urmila","Sultanpuri, Andaleeb",1999,,"Jaanam Samjha Karo (1999) Matondkar, Urmila Sultanpuri, Andaleeb 1999"
Hasta el viento tiene miedo,"Lazareno, Norma","Taboada, Carlos Enrique",1968,Horror,"Hasta el viento tiene miedo (1968) Lazareno, Norma Taboada, Carlos Enrique 1968 Horror"
Target,"Mukherjee, Gyanesh","Ray, Sandip",1995,Drama,"Target (1995) Mukherjee, Gyanesh Ray, Sandip 1995 Drama"
Everything Goes,"Wood, Bernice","Kotatko, Andrew",2004,Short,"Everything Goes (2004) Wood, Bernice Kotatko, Andrew 2004 Short"
Scrooged,"Murray, John (II)","Donner, Richard",1988,Comedy,"Scrooged (1988) Murray, John (II) Donner, Richard 1988 Comedy"
Gunfight in Abilene,"Werle, Barbara","Hale, William (II)",1967,Western,"Gunfight in Abilene (1967) Werle, Barbara Hale, William (II) 1967 Western"
Dhyasparva,"Paranjape, Minal","Palekar, Amol",2001,,"Dhyasparva (2001) Paranjape, Minal Palekar, Amol 2001"
Gunn,"Marshall, Marion","Edwards, Blake",1967,Mystery,"Gunn (1967) Marshall, Marion Edwards, Blake 1967 Mystery"
Parlez-moi d'amour,"Olive, Isabelle","Marceau, Sophie",2002,Drama,"Parlez-moi d'amour (2002) Olive, Isabelle Marceau, Sophie 2002 Drama"
"Year of the Yao, The","Francis, Steve (III)","Del Deo, Adam",2004,Documentary,"Year of the Yao, The (2004) Francis, Steve (III) Del Deo, Adam 2004 Documentary"
Tank Girl,"Ramsower, Stacy Linn","Talalay, Rachel",1995,Comedy,"Tank Girl (1995) Ramsower, Stacy Linn Talalay, Rachel 1995 Comedy"
"Kingdom, The","Titizian, Hrach","Berg, Peter (I)",2007,Thriller,"Kingdom, The (2007) Titizian, Hrach Berg, Peter (I) 2007 Thriller"
Camouflage,"Warburton, Patrick","Keach, James",2001,Comedy,"Camouflage (2001/I) Warburton, Patrick Keach, James 2001 Comedy"
Scandal Sheet,"Brown, Helen (I)","Karlson, Phil",1952,Drama,"Scandal Sheet (1952) Brown, Helen (I) Karlson, Phil 1952 Drama"
Scaramouche,"Hughes, Carol (I)","Sidney, George (II)",1952,Romance,"Scaramouche (1952) Hughes, Carol (I) Sidney, George (II) 1952 Romance"
Ex-Plumber,"Blystone, Stanley","Arbuckle, Roscoe 'Fatty'",1931,Short,"Ex-Plumber (1931) Blystone, Stanley Arbuckle, Roscoe 'Fatty' 1931 Short"
Hamraaz,Sarika,"Chopra, B.R.",1967,Thriller,"Hamraaz (1967) Sarika Chopra, B.R. 1967 Thriller"
Tugboat Annie,"Giblyn, Charles","LeRoy, Mervyn",1933,Comedy,"Tugboat Annie (1933) Giblyn, Charles LeRoy, Mervyn 1933 Comedy"
Hang 'Em High,"Fluellen, Joel","Post, Ted",1968,Western,"Hang 'Em High (1968) Fluellen, Joel Post, Ted 1968 Western"
Tuvo la culpa Ad?n,"Espantale?n, Juan","Ordu?a, Juan de",1944,,"Tuvo la culpa Ad?n (1944) Espantale?n, Juan Ordu?a, Juan de 1944"
Tunisian Victory,"de Gaulle, Charles","Capra, Frank",1944,War,"Tunisian Victory (1944) de Gaulle, Charles Capra, Frank 1944 War"
Seven Years in Tibet,"Tedeschi, Daniel (I)","Annaud, Jean-Jacques",1997,Biography,"Seven Years in Tibet (1997) Tedeschi, Daniel (I) Annaud, Jean-Jacques 1997 Biography"
Joshuu sasori: Dai-41 zakkyo-b?,"Kaji, Meiko","Ito, Shunya",1972,Drama,"Joshuu sasori: Dai-41 zakkyo-b? (1972) Kaji, Meiko Ito, Shunya 1972 Drama"
Joshuu sasori: 701-g? urami-bushi,"Sh?, Fumie","Hasebe, Yasuharu",1973,Drama,"Joshuu sasori: 701-g? urami-bushi (1973) Sh?, Fumie Hasebe, Yasuharu 1973 Drama"
Scorcher,"Davies, Tamara","Seale, James",2002,Drama,"Scorcher (2002/I) Davies, Tamara Seale, James 2002 Drama"
Joshuu 701-g?: Sasori,"Kaji, Meiko","Ito, Shunya",1972,Drama,"Joshuu 701-g?: Sasori (1972) Kaji, Meiko Ito, Shunya 1972 Drama"
Tales from the Hood,"Jefferson, Brendan","Cundieff, Rusty",1995,Horror,"Tales from the Hood (1995) Jefferson, Brendan Cundieff, Rusty 1995 Horror"
"Seventh Sign, The","Carson, Darwyn","Schultz, Carl (I)",1988,Thriller,"Seventh Sign, The (1988) Carson, Darwyn Schultz, Carl (I) 1988 Thriller"
"Serpent's Kiss, The","Smith, Britta","Rousselot, Philippe",1997,Drama,"Serpent's Kiss, The (1997) Smith, Britta Rousselot, Philippe 1997 Drama"
"Serpent and the Rainbow, The","Guilfoyle, Paul (II)","Craven, Wes",1988,Horror,"Serpent and the Rainbow, The (1988) Guilfoyle, Paul (II) Craven, Wes 1988 Horror"
"Takeover, The","Donzell, James A.","Cook, Troy",1995,Action,"Takeover, The (1995) (V) Donzell, James A. Cook, Troy 1995 Action"
